institution.displayName,institution.schoolType,institution.aliasNames,institution.state,institution.city,institution.zip,institution.region,institution.isPublic,institution.institutionalControl,institution.primaryPhotoCardThumb,ranking.displayRank,ranking.sortRank,ranking.isTied,searchData.actAvg.rawValue,searchData.percentReceivingAid.rawValue,searchData.acceptanceRate.rawValue,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.engineeringRepScore.rawValue,searchData.parentRank.rawValue,searchData.enrollment.rawValue,searchData.businessRepScore.rawValue,searchData.satAvg.rawValue,searchData.costAfterAid.rawValue,searchData.testAvgs.displayValue.0.value,searchData.testAvgs.displayValue.1.value
Bemidji State University,regional-universities-midwest,,MN,Bemidji,56601,midwest,True,public,,#83,83,True,19,,75,10130,,,,3877,,,,N/A,19-25
Benedict College,regional-colleges-south,,SC,Columbia,29204,south,True,private,,#86,86,True,14,,68,18000,3.2,< 2.0,,1796,,820,,820-1020,14-20
Benedictine College,regional-colleges-midwest,,KS,Atchison,66002,midwest,True,private,,#8,8,True,22,58,100,35350,3.6,2.2,,2261,,1095,30033.0,1095-1350,22-28
Benedictine University,regional-universities-midwest,,IL,Lisle,60532,midwest,True,private,,#56,56,True,19,47,93,34290,3.3,,,2042,,980,37730.0,980-1260,19-27
Benjamin Franklin Institute of Technology,regional-colleges-north,,MA,Boston,02116,north,True,private,,Unranked,-2,False,,,,18228,,2.1,,476,,,,N/A,N/A
Bennett College,national-liberal-arts-colleges,,NC,Greensboro,27401,,True,private,,#180,180,True,,,79,18550,,,,207,,,,N/A,N/A
Bennington College,national-liberal-arts-colleges,,VT,Bennington,05201,,True,private,,#112,112,True,29,,45,64644,3.6,,,785,,1260,,1260-1370,29-33
Bentley University,regional-universities-north,,MA,Waltham,02452,north,True,private,,#1,1,True,28,45,58,58610,,,,4131,3.2,1258,37913.0,1258-1420,28-32
Berea College,national-liberal-arts-colleges,,KY,Berea,40404,,True,private,,#30,30,True,23,,25,726,3.6,,,1433,,1136,,1136-1298,23-27
Berkeley College (NJ),regional-universities-north,,NJ,Woodland Park,07424,north,True,proprietary,,#151-167,-1,False,,,90,28600,2.8,,,1944,,,,N/A,N/A
Berkeley College (NY),regional-colleges-north,,NY,New York,10017,north,True,proprietary,,#36,36,True,,,94,28600,2.5,,,1818,,,,N/A,N/A
Berklee College of Music,regional-universities-north,,MA,Boston,02215,north,True,private,,#39,39,True,,11,54,50270,,,,7499,,,64255.0,N/A,N/A
Berry College,regional-universities-south,,GA,Mount Berry,30149,south,True,private,,#5,5,False,21,68,66,40416,3.8,,,2243,2.2,1110,25630.0,1110-1290,21-29
Bethany College (KS),regional-colleges-midwest,,KS,Lindsborg,67456,midwest,True,private,,#63,63,False,15,,66,31305,3.2,,,744,,882,,882-1020,15-22
Bethany College (WV),national-liberal-arts-colleges,,WV,Bethany,26032,,True,private,,#186-204,-1,False,18,,74,32640,,,,545,,870,,870-1110,18-26
Bethany Lutheran College,national-liberal-arts-colleges,,MN,Mankato,56001,,True,private,,#159,159,True,20,,58,30010,3.5,,,784,,990,,990-1290,20-25
Bethel College,regional-colleges-midwest,,KS,North Newton,67117,midwest,True,private,,#23,23,True,18,66,97,34002,3.5,,,495,,850,40146.0,850-1070,18-24
